ipv4,text,line
8A6E:E7C6:0F66:6:166:6:6:D7/1,烽火通信6662.txt,667
8A6E:E7C6:0F66:6:166:6:6:07/1,烽火通信6662.txt,699
8A64:7EA:87:6:7166:6:6:F/1,烽火通信6662.txt,731
8A64:7EA:87:6:7166:6:6:C7/1,烽火通信6662.txt,749
8A64:7EA:87:6:7166:6:6:CF/1,烽火通信6662.txt,767
8A64:7EA:87:6:7166:6:6:A7/1,烽火通信6662.txt,785
8A64:7EA:87:6:7166:6:6:E7/1,烽火通信6662.txt,803
8A64:7EA:87:6:7166:6:6:D7/1,烽火通信6662.txt,821
8A64:7EA:87:6:7166:6:6:07/1,烽火通信6662.txt,839
462A:A384:4322:3::3:347B/1,华为12594.txt,371
4620:3A7:E22B::3:347B/1,华为12594.txt,380
462A:A384:4322:5::3:347B/1,华为12594.txt,389
4620:3A7:E22B:32::3:347B/1,华为12594.txt,398
462A:A384:4322:111::7:347B/1,华为12594.txt,408
462A:A384:5122::6,华为12594.txt,413
462A:A384:4322:3::3:388B/1,华为12594.txt,449
4620:3A7:E22B::3:388B/1,华为12594.txt,458
462A:A384:4322:5::3:388B/1,华为12594.txt,467
4620:3A7:E22B:32::3:388B/1,华为12594.txt,476
462A:A384:4322:111::7:388B/1,华为12594.txt,486
462A:A384:5122::6,华为12594.txt,490
462A:A384:4322:3::3:384B/1,华为12594.txt,522
4620:3A7:E22B::3:384B/1,华为12594.txt,531
462A:A384:4322:5::3:384B/1,华为12594.txt,540
4620:3A7:E22B:32::3:384B/1,华为12594.txt,549
462A:A384:4322:111::7:384B/1,华为12594.txt,559
462A:A384:5122::6,华为12594.txt,564
462A:A384:4322:3::3:373F/1,华为12594.txt,596
4620:3A7:E22B::3:373F/1,华为12594.txt,605
462A:A384:4322:5::3:373F/1,华为12594.txt,614
4620:3A7:E22B:32::3:373F/1,华为12594.txt,623
462A:A384:4322:111::7:373F/1,华为12594.txt,633
462A:A384:5122::6,华为12594.txt,638
462A:A382:8322::3803/1,中兴1095.txt,253
462A:A382:8322:111::3803/1,中兴1095.txt,269
4620:3A4:A223::3803/1,中兴1095.txt,297
462A:A382:8322::394F/1,中兴1095.txt,363
462A:A382:8322:111::394F/1,中兴1095.txt,379
4620:3A4:A223::394F/1,中兴1095.txt,407
462A:A382:8322::AF/1,中兴1095.txt,454
462A:A382:8322:111::AF/1,中兴1095.txt,470
4620:3A4:A223::AF/1,中兴1095.txt,498
462A:A382:8322::B3/1,中兴1095.txt,537
462A:A382:8322:111::B3/1,中兴1095.txt,553
4620:3A4:A223::B3/1,中兴1095.txt,581
462A:A382:8322::F3/1,中兴1095.txt,620
462A:A382:8322:111::F3/1,中兴1095.txt,636
4620:3A4:A223::F3/1,中兴1095.txt,664
462A:A382:8322::55F/1,中兴1095.txt,703
462A:A382:8322:111::55F/1,中兴1095.txt,719
4620:3A4:A223::55F/1,中兴1095.txt,747
462A:A382:8322::5A3/1,中兴1095.txt,786
462A:A382:8322:111::5A3/1,中兴1095.txt,802
4620:3A4:A223::5A3/1,中兴1095.txt,830
462A:A382:8322::5DB/1,中兴1095.txt,869
462A:A382:8322:111::5DB/1,中兴1095.txt,885
4620:3A4:A223::5DB/1,中兴1095.txt,913
462A:A382:8322::BFF/1,中兴1095.txt,952
462A:A382:8322:111::BFF/1,中兴1095.txt,968
4620:3A4:A223::BFF/1,中兴1095.txt,996
462A:A382:8322::B03/1,中兴1095.txt,1035
462A:A382:8322:111::B03/1,中兴1095.txt,1051
4620:3A4:A223::B03/1,中兴1095.txt,1079
462A:A382:8322::B07/1,中兴1095.txt,1118
